"network","lambda","alpha","mean_f1","f1_sd","mean_time","time_sd"
"1+16",0,0.01,0.9587356464653,0.00785458876471995,937.391793656349,12.6214093255435
"1+16",0,0.1,0.972712655427556,0.00373486892943724,637.172386089961,27.5394915493544
"1+16",0.001,0.01,0.9563875682525,0.00693178626363416,1080.01995580196,39.6216574693998
"1+16",0.001,0.1,0.9749199593948,0.00201276033971662,623.205283713341,30.0150132260958
"1+16",0.1,0.01,0.957941635063,0.00633561174167977,1113.86311581135,21.4076664171866
"1+16",0.1,0.1,0.9740149785817,0.00264129808670431,628.382678604126,20.5377419888719
"1+2",0,0.01,0.8381661370529,0.0201631841429188,825.126035761833,68.0190793009801
"1+2",0,0.1,0.9682818522819,0.0091973082889248,1017.74895153046,58.7736219408727
"1+2",0.001,0.01,0.827510498041667,0.0145168854930176,955.976056920158,54.1442196664373
"1+2",0.001,0.1,0.9705600177674,0.00946133223107297,997.728103160858,35.7322253703479
"1+2",0.1,0.01,0.8272808118815,0.0226444373265329,962.664531874657,77.470385813114
"1+2",0.1,0.1,0.9559336893166,0.0157376488346981,946.622713828087,65.9836513416179
"1+4",0.1,0.01,0.8881711129653,0.0182130554629661,1066.15146176815,17.4273499906904
"1+4",0.1,0.1,0.9747970767212,0.00207021235490524,947.024575567246,52.9744709509027
"1+8",0.1,0.01,0.9278614146217,0.0113128814095595,1080.23329994678,10.8485131609477
"1+8",0.1,0.1,0.9747483351531,0.00303518564082538,778.331728458405,32.7815918722455
"2+16",0.1,0.01,0.9590493321879,0.00439826423040709,1617.88817162514,22.9897812167633
"2+16",0.1,0.1,0.9763564029048,0.00267696335294746,830.170112013817,55.1470818757433
"2+2",0.1,0.01,0.7998955265865,0.0123046488317429,1134.5061116457,73.1853377373584
"2+2",0.1,0.1,0.9181197682424,0.0307364523350067,1103.04436769485,215.541299326054
"2+4",0,0.01,0.8281778975592,0.0128988267717802,1335.67355871201,131.032785681458
"2+4",0,0.1,0.9667918035934,0.0163687722638051,1398.17346460819,155.299069278978
"2+4",0.001,0.01,0.8308690239678,0.0124971973030139,1297.75428760052,47.2928091600461
"2+4",0.001,0.1,0.9664922433483,0.00970478419720155,1390.16395668983,81.8300155073324
"2+4",0.1,0.01,0.8367859796344,0.0211247903679107,1336.81690731049,152.803462198712
"2+4",0.1,0.1,0.9715912805262,0.013289214095028,1397.08487365246,64.5293035074114
"2+8",0,0.01,0.8971921064829,0.0245672041645719,1498.67218155861,50.0846314614572
"2+8",0,0.1,0.9762670940117,0.00164115582952724,1132.79719798565,75.5660150242561
"2+8",0.001,0.01,0.9018441343538,0.0285093794005207,1499.01948707104,55.4888189193561
"2+8",0.001,0.1,0.9759562341156,0.00277403342078549,1126.91233730316,104.760733370132
"2+8",0.1,0.01,0.90491947906,0.0200615154084521,1535.32941851616,54.9563044128985
"2+8",0.1,0.1,0.9742639924824,0.00228713553596964,1137.41086189747,75.4724479838606
"3+16",0.1,0.01,0.9591925016416,0.00684534488985373,2072.57303175926,98.9033613120314
"3+16",0.1,0.1,0.9758917814108,0.00365164494273213,1130.36389009953,50.9713143823844
"3+2",0.1,0.01,0.7903339018635,0.00575657341045464,1175.61869838238,85.0941534436971
"3+2",0.1,0.1,0.8527962648344,0.0256255558353914,817.351114702225,219.465571226398
"3+4",0,0.01,0.8071413705188,0.0129008729485942,1375.88865177631,163.61056617351
"3+4",0,0.1,0.928136982388,0.0203772477894028,1480.0401444912,216.167085647876
"3+4",0.001,0.01,0.8042875544494,0.0181176399378287,1286.89344747067,278.911853674341
"3+4",0.001,0.1,0.9303830803867,0.0243129961845206,1518.1240842104,224.639805935178
"3+4",0.1,0.01,0.8041832902776,0.011178771992762,1324.52462444305,100.46141715267
"3+4",0.1,0.1,0.935560566552,0.013622421204914,1529.97286286354,129.832828425837
"3+8",0,0.01,0.8924818748129,0.0208766232113762,1887.85514168739,155.539208948857
"3+8",0,0.1,0.9744170583655,0.00572993401692722,1525.36669986248,122.081051162252
"3+8",0.001,0.01,0.873080343781,0.0262752845282256,1806.79954082966,179.320756732447
"3+8",0.001,0.1,0.9751025082049,0.00223132721088144,1469.01669616699,81.0320802221776
"3+8",0.1,0.01,0.8685817072583,0.0268423557643603,1818.0297898531,166.135321633685
"3+8",0.1,0.1,0.9748509838622,0.0029038588533218,1501.77428541183,96.2893299383251
"4+16",0,0.01,0.9571140958765,0.00793696464630194,2189.95361316204,54.801967662695
"4+16",0,0.1,0.9753806590599,0.00278547814000288,1333.78338267803,119.408202557807
"4+16",0.001,0.01,0.9613768203017,0.00905123617270158,2368.9187340498,196.810607458865
"4+16",0.001,0.1,0.9758259097544,0.00254638118356542,1260.1737203598,97.1833480586915
"4+16",0.1,0.01,0.9571563442505,0.0103276337471968,2415.8815505743,160.181581996931
"4+16",0.1,0.1,0.9746552747828,0.00269228198952715,1401.40575671196,75.0615282880348
"4+2",0,0.01,0.788513513514,0,1141.79114351273,130.269047836855
"4+2",0,0.1,0.7982686601611,0.0104518558019248,328.956026220322,129.307950945635
"4+2",0.001,0.01,0.788513513514,0,1298.90731451511,204.893634446551
"4+2",0.001,0.1,0.7999013564348,0.0131464969078519,355.342559528351,163.492915178692
"4+2",0.1,0.01,0.788513513514,0,1337.5459852457,165.828020952448
"4+2",0.1,0.1,0.79438481204,0.009469572739515,281.933137917519,106.489363742806
"4+4",0.1,0.01,0.7910089121383,0.00543163928787053,1271.70091090202,103.829524851534
"4+4",0.1,0.1,0.8783739353424,0.0399035582627291,1241.65125451088,472.123426223519
"4+8",0.1,0.01,0.8451199859439,0.0297173727128757,1833.62929906845,338.900440821712
"4+8",0.1,0.1,0.9634384801457,0.0145927401761046,1804.32189719677,215.979390034037
