4+2,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,1.,4.,0.,0.,5.,0.,5.,0.,0.,0.,14.,0.,0.001,0.01,0.287829579186,0.000947768229334372,0.0307858446259701,356.6102478504181
4+2,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,14.,0.,0.001,0.01,0.266459627329,0.0005773482675994154,0.02402807249030632,439.64631152153015
4+2,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,14.,0.,0.001,0.01,0.337525879917,0.0021623611164692733,0.04650119478539528,383.9328444004059
4+2,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,0.,5.,0.,5.,0.,4.,1.,0.,0.,5.,0.,0.,5.,0.,0.,14.,0.,0.001,0.01,0.231068497398,0.00016477353812571993,0.012836414535442518,302.17940163612366
4+2,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,14.,0.,0.001,0.01,0.316570077185,0.00158996682653235,0.03987438810229381,364.9595878124237
4+2,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,5.,0.,0.,0.,14.,0.,0.001,0.01,0.266459627329,0.0005773482675994154,0.02402807249030632,372.6301381587982
4+2,0.,5.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,1.,4.,0.,0.,14.,0.,0.001,0.01,0.267953802789,0.0006002780409662249,0.024500572257933586,374.6281325817108
4+2,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,14.,0.,0.001,0.01,0.279710144928,0.0007962698627024846,0.028218254068997334,305.91603803634644
4+2,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,14.,0.,0.001,0.01,0.292960662526,0.0010503067011303582,0.03240843564768837,322.6256184577942
4+2,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,5.,0.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,5.,0.,0.,14.,0.,0.001,0.01,0.283173348391,0.000859276308543489,0.02931341516342797,379.01295828819275
